x,y,z
314,143,1497
314,143,1497
321,157,1420
321,157,1412
311,140,1496
311,140,1496
320,144,1612
320,144,1612
321,157,1526
321,158,1553
321,157,1534
321,157,1507
321,157,1534
321,156,1515
321,157,1534
321,158,1553
321,157,1534
321,156,1515
292,236,1725
292,236,1725
291,237,1682
291,237,1682
289,235,1705
289,235,1705
321,157,1534
295,238,1655
295,238,1655
321,158,1553
321,157,1526
292,235,1699
292,235,1699
321,157,1499
320,143,1595
320,143,1595
314,143,1497
314,143,1497
316,140,1562
316,140,1562
309,144,1653
309,144,1653
316,158,1548
316,158,1548
313,158,1662
313,158,1662
309,157,1713
309,157,1735
309,157,1683
314,157,1562
309,156,1581
309,156,1581
309,156,1581
309,156,1581
309,156,1581
309,156,1581
309,156,1581
309,156,1581
314,158,1571
315,157,1563
312,156,1576
362,206,1707
362,206,1707
362,206,1707
341,196,1770
341,196,1770
342,192,1786
342,192,1786
339,123,1896
339,123,1896
335,134,1974
335,134,1974
336,131,1961
336,131,1961
336,134,1936
336,134,1936
323,237,1686
334,143,1946
334,143,1946
285,234,1419
285,234,1419
334,143,1932
334,143,1932
324,237,1679
324,237,1682
357,191,1691
357,191,1691
357,191,1691
357,191,1691
346,180,1779
346,180,1779
334,143,1946
334,143,1946
334,142,1940
334,142,1940
321,236,1671
334,145,1979
334,145,1979
285,233,1410
285,233,1410
285,233,1410
334,142,1982
334,142,1982
336,132,1945
335,135,1942
355,178,1711
355,178,1711
355,178,1711
337,131,1931
337,131,1931
349,168,1789
349,168,1789
336,134,1944
336,134,1944
335,143,1908
335,143,1908
338,159,1921
338,159,1921
309,223,1617
352,168,1803
352,168,1803
352,168,1803
352,159,1730
352,159,1730
352,159,1730
352,159,1730
352,159,1730
352,159,1730
318,219,1687
324,218,1709
327,218,1715
329,218,1721
350,219,1606
353,221,1568
360,218,1631
360,218,1631
357,220,1828
357,220,1828
357,220,1828
357,220,1828
357,220,1828
357,220,1828
357,220,1828
357,220,1828
357,220,1828
357,220,1828
346,213,1728
346,213,1728
356,219,1693
355,225,1659
355,225,1659
355,225,1659
